"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
834743,"Fedora","fedpkg",,"CLOSED","CURRENTRELEASE","fedpkg is depending on md5, which is not allowed in fips mode","2016-12-13 14:39:28"
1151651,"Fedora","systemd",,"CLOSED","NEXTRELEASE","localectl: globally changing locale/keymap does not affect initramfs","2016-07-20 09:26:56"
1163412,"Fedora","systemd",,"CLOSED","CURRENTRELEASE","PKG: Package unused components like systemd-resolved in a sub-package","2016-11-03 20:14:01"
1170765,"Fedora","systemd",,"CLOSED","ERRATA","systemd: all processes in scopes (including user sessions) SIGKILLed immediately on shutdown with no opportunity to shut down cleanly","2016-11-14 15:00:59"
1231514,"Fedora","dnf",,"CLOSED","RAWHIDE","'dnf erase kernel' still wants to remove the running kernel","2017-05-04 13:25:40"
1245121,"Fedora","dnf",,"CLOSED","ERRATA","TypeError: unhashable type: 'YumHistoryPackageState'","2016-05-22 00:01:11"
1254483,"Fedora","rpm",,"CLOSED","RAWHIDE","%lang / %_install_langs does not work","2016-04-06 07:00:12"
1260443,"Fedora","dnf",,"CLOSED","RAWHIDE","cli: all DNF commands should use subparser","2016-11-14 12:20:57"
1262665,"Fedora","systemd",,"CLOSED","RAWHIDE","/var/lib/systemd/journal-upload directory should have permission 0755","2017-01-11 20:29:09"
1269881,"Fedora","dnf",,"CLOSED","CURRENTRELEASE","dnf search backtrace (UnicodeEncodeError)","2016-08-01 06:03:02"
1273077,"Fedora","dnf",,"CLOSED","ERRATA","dnf install fails if local package is mentioned twice","2016-05-13 08:17:16"
1273374,"Fedora","dnf",,"CLOSED","CURRENTRELEASE","autoremove --exclude does not work","2016-07-14 12:18:23"
1279061,"Fedora","dnf-plugins-core",,"CLOSED","CURRENTRELEASE","dnf repoquery does not have a way to show Requires(post/pre/preun/postun)","2016-07-11 10:50:53"
1284645,"Fedora","rpm",,"CLOSED","RAWHIDE","rpm %transfiletriggerpostun is not called","2016-11-20 03:29:22"
1286477,"Fedora","dnf-plugins-core",,"CLOSED","ERRATA","DNF creates /etc/yum/repos.d instead of /etc/dnf/repos.d when no repodir is present/configured","2016-03-26 13:58:25"
1286556,"Fedora","dnf",,"CLOSED","ERRATA","/usr/lib64/python3.5/re.py:203: FutureWarning: split() requires a non-empty pattern match.","2016-05-21 22:25:01"
1287161,"Fedora","systemd",,"CLOSED","RAWHIDE","systemctl preset claims that unit file have no [Install] section","2016-11-03 23:32:28"
1287918,"Fedora","rpm",,"CLOSED","ERRATA","rpm lua scripts need a way to close stdout / stderr","2016-03-26 14:13:30"
1291867,"Fedora","dnf",,"CLOSED","ERRATA","[conn] show progress when repo has metalink","2017-06-16 09:18:42"
1293983,"Fedora","dnf",,"CLOSED","ERRATA","[UX] show skipped packages during upgrade with pkg param","2017-06-09 15:06:15"
1297756,"Fedora","hg-git",,"CLOSED","ERRATA","update mercurial to 3.6.2","2016-07-12 11:07:18"
1298668,"Fedora","rpm",,"CLOSED","RAWHIDE","Allow noarch builds with ExclusiveArch not containing noarch","2016-11-14 10:16:21"
1301265,"Fedora","dnf-plugins-core",,"CLOSED","CURRENTRELEASE","dnf debuginfo-install does not work","2016-07-21 10:32:43"
1303117,"Fedora","hawkey",,"CLOSED","RAWHIDE","hy_package_get_requires should return also ""Requires(pre)""","2017-03-02 04:58:10"
1303311,"Fedora","dnf-plugins-core",,"CLOSED","NEXTRELEASE","[weakdeps] --whatsupplements not working","2017-03-15 05:04:10"
1303599,"Fedora","libsolv",,"CLOSED","NEXTRELEASE","The python3-solv RPM requires both Python 2 and Python 3.","2016-04-09 05:43:03"
1303983,"Fedora","dnf-plugins-extras",,"CLOSED","NEXTRELEASE","dnf repoclosure needs an arch flag","2016-07-22 05:05:56"
1306225,"Fedora","3Depict",,"CLOSED","RAWHIDE","3Depict: FTBFS in rawhide","2016-03-08 22:36:59"
1309242,"Fedora","python-scss",,"CLOSED","RAWHIDE","python-scss: Provide a Python 3 subpackage","2016-06-27 09:00:46"
1309381,"Fedora","python-pycadf",,"CLOSED","RAWHIDE","python-pycadf: Provide a Python 3 subpackage","2016-06-26 12:17:50"
1309386,"Fedora","python-pymod2pkg",,"CLOSED","RAWHIDE","python-pymod2pkg: Provide a Python 3 subpackage","2016-07-29 07:45:47"
1309622,"Fedora","python-novaclient",,"CLOSED","RAWHIDE","python-novaclient: Provide a Python 3 subpackage","2016-07-26 13:55:08"
1310608,"Fedora","systemd",,"CLOSED","ERRATA","Very slow shutdown, it takes 1 minute 30 seconds","2017-04-18 05:47:36"
1313085,"Fedora","systemd",,"CLOSED","ERRATA","Name resolution fails (resolv.conf is a broken systemd symlink) on livemedia-creator live image","2016-09-16 16:40:16"
1314529,"Fedora","python-bashate",,"CLOSED","RAWHIDE","python2-bashate - requires both python2 and python3","2016-06-25 21:45:43"
1316964,"Fedora","systemd",,"CLOSED","ERRATA",".../include/systemd/sd-login.h:241:1: error: expected '=', ',', ';', 'asm' or '__attribute__' before 'void'","2016-06-01 15:54:12"
1317215,"Fedora","dnf-plugins-extras",,"CLOSED","NEXTRELEASE","systemd prints errors: ""Failed to load environment files: No such file or directory"" and ""Failed to run 'stop-post' task: No such file or directory","2017-04-19 07:11:37"
1317780,"Fedora","dracut",,"CLOSED","CURRENTRELEASE","Fedora 23 distribution ISOs cannot PXE boot","2016-05-11 10:29:57"
1317928,"Fedora","systemd",,"CLOSED","ERRATA","nspawn does not set SELinux label correctly (/dev/console)","2016-06-01 15:54:15"
1321392,"Fedora","systemd",,"CLOSED","ERRATA","[abrt] systemd: log_assert_failed(): systemd killed by SIGABRT","2016-07-23 14:49:15"
1322226,"Fedora","dnf",,"CLOSED","ERRATA","[pt-BR] some strings translated in zanata are missing in the terminal","2016-12-15 10:51:13"
1324663,"Fedora","systemd",,"CLOSED","CURRENTRELEASE","Busy loop in `journalctl --list-boots`","2016-07-21 07:13:30"
1325462,"Fedora","systemd",,"CLOSED","ERRATA","[abrt] systemd: strv_clear(): networkctl killed by SIGABRT","2016-07-23 14:49:11"
1325471,"Fedora","libsolv",,"CLOSED","ERRATA","resolving Supplements: dependencies pull in multilib packages","2016-05-20 19:50:23"
1325869,"Fedora","dnf",,"CLOSED","ERRATA","[abrt] dnf: config.py:91:__set__:ValueError: Error parsing ""baseurl = repodata"": URL must be http, ftp, file or https not """"","2016-08-27 06:21:48"
1326871,"Fedora","rpm",,"CLOSED","RAWHIDE","_isa on armv7hnl is incorrect","2016-05-19 07:42:47"
1329591,"Fedora","git",,"CLOSED","ERRATA","Please update to 2.7.4 fixing CVE-2016-2315, CVE-2016-2324","2016-04-26 12:32:28"
1329613,"Fedora","dracut",,"CLOSED","RAWHIDE","bananapi: unable to pxe boot","2016-04-25 05:01:33"
1330519,"Fedora","unzip",,"CLOSED","ERRATA","Harden all packages: funzip executable should use PIE and have RELRO enabled","2016-07-15 17:25:40"
1333998,"Fedora","systemd",,"CLOSED","ERRATA","After Russian install, console keymap is 'us', not 'ru'","2016-06-01 15:54:23"
1336317,"Fedora","gnome-music",,"CLOSED","ERRATA","missing dependency - python3-requests","2016-05-17 11:11:27"
1336960,"Fedora","systemd",,"CLOSED","ERRATA","systemctl preset fails due to missing [Install] section in unit file","2016-07-23 14:48:58"
1338729,"Fedora","dnf",,"CLOSED","RAWHIDE","dnf group install failed with group name in french","2017-05-19 09:31:53"
1339131,"Fedora","systemd",,"CLOSED","ERRATA","networkctl status: abort, munmap_chunk(): invalid pointer","2016-07-23 14:48:41"
1341179,"Fedora","systemd",,"CLOSED","ERRATA","systemctl --host / -H returns output for some commands after long time","2016-07-23 14:48:55"
1342889,"Fedora","dnf",,"CLOSED","CURRENTRELEASE","unable to install desktop environments","2016-07-21 11:07:45"
1343533,"Fedora","dnf",,"CLOSED","CURRENTRELEASE","[abrt] dnf: rpmtrans.py:237:_extract_str_cbkey:AssertionError","2016-07-21 10:07:17"
1344661,"Fedora","systemd",,"CLOSED","ERRATA","systemd-networkd tries to do DHCPv6 on bridged interfaces","2016-08-11 17:54:15"
1348401,"Fedora","dnf",,"CLOSED","NEXTRELEASE","[abrt] dnf: demand.py:40:__set__:AttributeError: Demand already set.","2016-08-15 05:33:14"
1349231,"Fedora","dnf",,"CLOSED","RAWHIDE","[abrt] dnf: python3.5 killed by SIGABRT","2017-05-19 04:36:42"
1350219,"Fedora","systemd",,"CLOSED","ERRATA","systemd-networkd continually logs ""Could not remove route: Invalid argument""","2016-08-11 17:54:19"
1350627,"Fedora","unzip",,"CLOSED","ERRATA","Error lchmod not implemented","2016-07-03 08:23:04"
1350686,"Fedora","systemd",,"CLOSED","ERRATA","Systemd issues after upgrade to Fedora 24","2016-07-23 14:48:50"
1351572,"Fedora","systemd",,"CLOSED","CURRENTRELEASE","Man page of machinectl exclude from all packages","2016-11-03 16:10:04"
1351740,"Fedora","dnf",,"CLOSED","CURRENTRELEASE","[abrt] dnf: pycomp.py:67:write_to_file:UnicodeEncodeError: 'ascii' codec can't encode characters in position 13-19: ordinal not in range(128)","2016-08-01 06:56:17"
1352299,"Fedora","discount",,"CLOSED","ERRATA","Update discount to 2.2.0","2017-06-22 21:55:35"
1352327,"Fedora","dnf",,"CLOSED","NEXTRELEASE","Missing translation","2016-07-04 07:39:09"
1352378,"Fedora","systemd",,"CLOSED","ERRATA","systemd-networkd bridged intefaces still get RA ipv6 addresses: backport upstream fix","2016-07-23 14:48:38"
1355732,"Fedora","gnome-photos",,"CLOSED","CURRENTRELEASE","item-manager: Fix the lifetime of the changes-pending handler","2016-08-30 14:17:04"
1357822,"Fedora","systemd",,"CLOSED","ERRATA","systemd-udev needs a patch backported due to string error, causes shenanigans with rules","2016-07-23 23:32:13"
1357990,"Fedora","systemd",,"CLOSED","ERRATA","Rightmost 1/4 of MacBook touchpad cannot initiate events","2016-10-05 20:50:35"
1358596,"Fedora","dnf",,"CLOSED","NEXTRELEASE","Failed group installs marked as installed.","2016-07-21 01:56:28"
1361003,"Fedora","dnf-plugins-core",,"CLOSED","ERRATA","dnf.plugin.copr (copr.py) cls.config_chroot returns None (affects setting dist in /etc/dnf/plugins/copr.conf)","2016-08-27 06:22:26"
1365935,"Fedora","systemd",,"CLOSED","NEXTRELEASE","TransmitHashPolicy=802.3ad not working with bonding and systemd-networkd","2016-08-10 11:17:26"
1367766,"Fedora","systemd",,"CLOSED","ERRATA","systemctl daemon-reexec causes Xorg to panic","2016-09-06 14:22:31"
1368238,"Fedora","hawkey",,"CLOSED","ERRATA","dnf pulls in armv7hnl package variants on a no-NEON system","2016-08-29 11:36:53"
1371596,"Fedora","systemd",,"CLOSED","ERRATA","systemd-logind crashes when shutdown is not invoked from a tty","2016-10-13 07:17:07"
1377440,"Fedora","git",,"CLOSED","ERRATA","Git aliases do not work in sub-dirs of worktree","2016-10-05 02:22:08"
1378974,"Fedora","systemd",,"CLOSED","ERRATA","Restart of systemd-udev-trigger.service in systemd-udev %postun causes 'replug' of graphics adapter, can cause X to crash","2016-11-04 19:01:05"
1380957,"Fedora","kernel",,"CLOSED","ERRATA","resume from hibernate randomly fails (silent reboot)","2016-11-02 11:51:35"
1383066,"Fedora","systemd",,"CLOSED","ERRATA","updating systemd re-creates /var/log/journal","2016-10-14 01:00:27"
1386921,"Fedora","dnf",,"CLOSED","RAWHIDE","""dnf info SUBPACKAGE"" does not print the name of the source RPM","2016-11-16 02:55:52"
1393659,"Fedora","rpm",,"CLOSED","RAWHIDE","[rpm-python] rpm._rpms: undefined symbol: spec_Type","2017-06-19 04:55:01"
1395211,"Fedora","systemd",,"CLOSED","ERRATA","Installation throws avc unlink hwdb.bin","2017-02-05 20:49:00"
1399798,"Fedora","rpm",,"CLOSED","ERRATA","non-standard-dir-perm of doc and licenses","2017-02-28 20:24:58"
1401041,"Fedora","dnf",,"CLOSED","ERRATA","Python traceback in dnf-plugin-spacewalk in Fedora 24","2016-12-04 00:25:41"
1401446,"Fedora","dnf",,"CLOSED","ERRATA","dnf does not report cleaning packages","2017-04-01 13:21:52"
1405660,"Fedora","dnf",,"CLOSED","RAWHIDE","""but none of the providers can be installed"" error isn't for the right package","2016-12-16 19:32:21"
1415441,"Fedora","dnf",,"CLOSED","ERRATA","AttributeError: 'NEVRA' object has no attribute '_has_just_name'","2017-01-23 22:48:49"
1417542,"Fedora","dnf",,"CLOSED","ERRATA","Dnf won't synchronize cache","2017-04-01 13:22:01"
1419912,"Fedora","systemd",,"CLOSED","ERRATA","fix building against lz4 (with new versioning scheme)","2017-02-09 15:50:51"
1420468,"Fedora","dnf",,"CLOSED","RAWHIDE","DNF not remove unused dependencies on removing ""Extreme Tuxracer"" game !","2017-05-12 18:30:23"
1424907,"Fedora","dnf",,"CLOSED","RAWHIDE","DNF GROUP INSTALL","2017-02-20 10:26:44"
1431086,"Fedora","dnf",,"CLOSED","RAWHIDE","dnf needs-restart needs documentation","2017-06-14 10:36:09"
1439654,"Fedora","dnf",,"CLOSED","RAWHIDE","dnf update ""*-debuginfo"" causes 100% cpu usage","2017-04-10 11:45:47"
1440366,"Fedora","dnf",,"CLOSED","ERRATA","dnf install -y wget fails with ImportError: /lib64/libhawkey.so.2: symbol pool_parserpmrichdep, version SOLV_1.0 not defined in file libsolvext.so.0 with link time reference","2017-04-16 00:19:24"
1444751,"Fedora","dnf-plugins-core",,"CLOSED","ERRATA","dnf repoquery allow --qf use with --tree","2017-06-16 09:18:34"
1449618,"Fedora","dnf",,"CLOSED","ERRATA","dnf won't explain conflicts even with --best","2017-06-09 15:06:33"
1465610,"Fedora","systemd",,"CLOSED","ERRATA","resolved: an out-of-bounds write","2017-07-02 22:19:10"
1258140,"Fedora","abrt","abrt","CLOSED","ERRATA","[abrt] abrt-addon-ccpp","2016-04-15 17:32:18"
1308840,"Fedora","abrt","abrt","CLOSED","CURRENTRELEASE","Firefox - please disable reports from plugin-container","2017-05-09 06:05:42"
1317651,"Fedora","retrace-server","abrt","CLOSED","CURRENTRELEASE","[abrt] failure of bug reporting","2016-03-29 03:19:45"
1358066,"Fedora","abrt","abrt","CLOSED","CURRENTRELEASE","ABRT can't report a crash in blivet-gui on the F24 workstation live","2017-04-18 08:47:47"
1307345,"Fedora","bfast","Adam Huffman","CLOSED","CURRENTRELEASE","bfast: FTBFS in rawhide","2016-03-23 07:44:40"
1308219,"Fedora","vcftools","Adam Huffman","CLOSED","ERRATA","vcftools: FTBFS in rawhide","2016-11-20 21:22:31"
1308263,"Fedora","yoshimi","Adam Huffman","CLOSED","RAWHIDE","yoshimi: FTBFS in rawhide","2016-09-15 17:02:48"
1337966,"Fedora","mmseq","Adam Huffman","CLOSED","ERRATA","mmseq FTBFS in F24 and rawhide","2016-07-27 14:56:23"
1218425,"Fedora","gtk3","Adam Jackson","CLOSED","NEXTRELEASE","[abrt] firewall-config: wl_log(): python2.7 killed by SIGTRAP","2016-04-07 04:26:28"
1252588,"Fedora","mesa","Adam Jackson","CLOSED","ERRATA","/usr/include/GLES3 is not owned by any package","2016-09-12 08:21:23"
1258760,"Fedora","llvm","Adam Jackson","CLOSED","CURRENTRELEASE","no manpages for llvm programs","2016-06-05 08:27:37"
1264404,"Fedora","mesa","Adam Jackson","CLOSED","ERRATA","OpenGL over ssh -X does not work","2017-04-01 13:18:30"
1272394,"Fedora","llvm","Adam Jackson","CLOSED","CURRENTRELEASE","llvm.spec configures build with -O3: needs explanation comment or removal","2016-06-05 08:38:55"
1275265,"Fedora","llvm","Adam Jackson","CLOSED","CURRENTRELEASE","Fails to build when all %bcond_with(out) are disabled","2016-06-05 08:39:57"
1282260,"Fedora","xorg-x11-drv-intel","Adam Jackson","CLOSED","CURRENTRELEASE","Crash in OsLookupColor","2017-01-03 14:24:56"
1295383,"Fedora","mesa","Adam Jackson","CLOSED","RAWHIDE","gnome gdm fails - 11.2.0-0.devel.3.70d8dbc","2016-03-20 07:57:23"
1300945,"Fedora","llvm","Adam Jackson","CLOSED","CURRENTRELEASE","tracker bug for splitting llvm packages and moving to cmake","2016-06-05 10:29:01"
1308484,"Fedora","llvm","Adam Jackson","CLOSED","CURRENTRELEASE","Non-fatal POSTUN scriptlet failure in rpm package llvm-devel","2016-06-05 10:33:38"
1309446,"Fedora","mesa","Adam Jackson","CLOSED","ERRATA","intel_do_flush_locked failed: No such file or directory","2017-03-28 19:19:22"
1318541,"Fedora","mesa","Adam Jackson","CLOSED","ERRATA","kde (e.g kscreenlocker) crashes in driDestroyScreen/llvmpipe_destroy_screen/pthread_barrier_destroy","2016-03-28 15:30:21"
1325020,"Fedora","xorg-x11-drv-intel","Adam Jackson","CLOSED","ERRATA","[abrt] WARNING: CPU: 3 PID: 1648 at drivers/gpu/drm/i915/intel_uncore.c:599 hsw_unclaimed_reg_debug+0x6a/0x90 [i915]()","2016-10-01 16:41:15"
1334453,"Fedora","xorg-x11-drv-intel","Adam Jackson","CLOSED","CURRENTRELEASE","[abrt] kernel BUG at include/linux/page-flags.h:272! [drm]","2016-05-25 08:19:27"
1334972,"Fedora","xorg-x11-drv-intel","Adam Jackson","CLOSED","CURRENTRELEASE","Disconnect and reconnecting my DVI kills video","2016-12-02 19:26:57"
1341865,"Fedora","mesa","Adam Jackson","CLOSED","ERRATA","supertuxkart hangs in f24 spice gl","2016-06-18 14:29:40"
1354605,"Fedora","xorg-x11-drv-intel","Adam Jackson","CLOSED","ERRATA","sna acceleration causes improper rendering","2016-07-27 14:56:03"
1356229,"Fedora","mesa","Adam Jackson","CLOSED","RAWHIDE","RFE enable the Intel Vulkan driver","2016-11-02 13:08:32"
1356789,"Fedora","xorg-x11-drv-intel","Adam Jackson","CLOSED","CURRENTRELEASE","external display does not wake up from standby           / X11 crash","2017-04-17 09:29:49"
1359543,"Fedora","xorg-x11-drv-intel","Adam Jackson","CLOSED","CURRENTRELEASE","Video flickers using Bay Trail graphics","2016-10-07 20:13:10"
1359903,"Fedora","xorg-x11-drv-intel","Adam Jackson","CLOSED","CURRENTRELEASE","Laptop unusable with screen flicker","2016-10-14 12:44:22"
1373031,"Fedora","xorg-x11-drv-intel","Adam Jackson","CLOSED","ERRATA","4.7.2 kernel upgrade fails output to display with Intel GM45","2016-10-01 11:30:20"
1375560,"Fedora","mutter-wayland","Adam Jackson","CLOSED","CURRENTRELEASE","Popup menus are misplaced when connected to external monitor and monitors not exactly side-by-side","2016-11-24 03:31:22"
1379171,"Fedora","xorg-x11-drv-intel","Adam Jackson","CLOSED","CURRENTRELEASE","i915 gpu hang","2016-11-27 12:46:56"
1383562,"Fedora","xorg-x11-drv-intel","Adam Jackson","CLOSED","ERRATA","[drm:intel_cpu_fifo_underrun_irq_handler [i915]] *ERROR* CPU pipe B FIFO underrun","2016-11-19 12:26:20"
1243736,"Fedora","Changes Tracking","Adam Miller","CLOSED","CURRENTRELEASE","Layered Docker Image Build Service","2016-09-29 07:26:06"
1292682,"Fedora","Changes Tracking","Adam Miller","CLOSED","CURRENTRELEASE","OpenShift Origin","2016-09-29 07:24:42"
1309264,"Fedora","python-virtkey","Adam Miller","CLOSED","ERRATA","python-virtkey: Provide a Python 3 subpackage","2016-10-08 22:53:07"
1309269,"Fedora","python-texttable","Adam Miller","CLOSED","RAWHIDE","python-texttable: Provide a Python 3 subpackage","2016-09-07 06:56:14"
1309306,"Fedora","python-tpg","Adam Miller","CLOSED","RAWHIDE","python-tpg: Provide a Python 3 subpackage","2016-09-07 07:09:10"
1295373,"Fedora","fsarchiver","Adel Gadllah","CLOSED","ERRATA","Update FSArchiver to 0.6.22","2016-03-13 20:19:47"
1307516,"Fedora","fsarchiver","Adel Gadllah","CLOSED","RAWHIDE","fsarchiver: FTBFS in rawhide","2016-03-02 15:57:03"
1278027,"Fedora","vnstat","Adrian Reber","CLOSED","RAWHIDE","Service fails to start because it's run as root","2016-05-31 11:47:16"
1367329,"Fedora","bogofilter","Adrian Reber","CLOSED","RAWHIDE","why libdb4","2017-06-27 09:27:04"
1381351,"Fedora","criu","Adrian Reber","CLOSED","ERRATA","[abrt] criu: mount_resolve_path(): criu killed by SIGSEGV","2016-11-19 16:02:56"
1169979,"Fedora","fontconfig","Akira TAGOH","CLOSED","RAWHIDE","fontconfig cache updating does not work reliably during live image generation","2016-06-10 02:50:04"
1308109,"Fedora","sazanami-fonts","Akira TAGOH","CLOSED","NEXTRELEASE","sazanami-fonts: FTBFS in rawhide","2016-03-30 02:49:43"
1330089,"Fedora","imsettings","Akira TAGOH","CLOSED","ERRATA","ibus panel in the KDE panel does nothing when clicked","2016-06-27 23:49:14"
